kafka-1  | ===> User
kafka-1  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka-1  | ===> Setting default values of environment variables if not already set.
kafka-1  | ===> Configuring ...
kafka-1  | Running in KRaft mode...
kafka-1  | ===> Launching ... 
kafka-1  | ===> Using provided cluster id 4L6g3nShT-eMCtK--X86sw ...
kafka-1  | [2025-09-15 16:59:16,805] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka-1  | [2025-09-15 16:59:16,905] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka-1  | [2025-09-15 16:59:16,906] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka-1  | [2025-09-15 16:59:17,006] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-1  | [2025-09-15 16:59:17,025] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka-1  | [2025-09-15 16:59:17,029] INFO CONTROLLER: resolved wildcard host to dd625650c2c2 (org.apache.kafka.metadata.ListenerInfo)
kafka-1  | [2025-09-15 16:59:17,032] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka-1  | [2025-09-15 16:59:17,033] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka-1  | [2025-09-15 16:59:17,060] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-1  | [2025-09-15 16:59:17,061] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-1  | [2025-09-15 16:59:17,065] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka-1  | [2025-09-15 16:59:17,072] INFO Initialized snapshots with IDs SortedSet() from /tmp/kafka-logs/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka-1  | [2025-09-15 16:59:17,077] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka-1  | [2025-09-15 16:59:17,079] INFO [RaftManager id=1] Reading KRaft snapshot and log as part of the initialization (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,081] INFO [RaftManager id=1] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=<undefined>), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka/172.18.0.3:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,081] INFO [RaftManager id=1] Starting request manager with static voters: [kafka:9093 (id: 1 rack: null isFenced: false)] (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | [2025-09-15 16:59:17,083] INFO [RaftManager id=1] Attempting durable transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1], electionTimeoutMs=1966, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-1  | [2025-09-15 16:59:17,090] INFO [RaftManager id=1] Completed transition to UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1], electionTimeoutMs=1966, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-1  | [2025-09-15 16:59:17,092] INFO [RaftManager id=1] Completed transition to ProspectiveState(epoch=0, leaderId=OptionalInt.empty, retries=1, votedKey=Optional.empty, epochElection=EpochElection(voterStates={1=VoterState(replicaKey=ReplicaKey(id=1, directoryId=<undefined>), state=GRANTED)}), electionTimeoutMs=1699, highWatermark=Optional.empty) from UnattachedState(epoch=0, leaderId=OptionalInt.empty, votedKey=Optional.empty, voters=[1], electionTimeoutMs=1966, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
