atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"using input pcap file"
atf_snf.info sll2:Y
atf_snf.info fname:/home/avorovich/arnd/temp/x2tmp  comment:"using experiment directory extracted from pcap file name"
atf_snf.info tcp_pair_dir:/home/avorovich/arnd/temp/x2tmp/tcp_pairs
atf_snf.info  fname:/home/avorovich/arnd/temp/x2tmp/x2gw_8850.pcap  comment:"PcapFileProcess start"
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569277
In_Seqmsg latency  seq_x2traf:1  "x2write->snf_read":488871:59:37.569277  "snf_write->snf_read":00:00:00.000205
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569307
In_Seqmsg latency  seq_x2traf:2  "x2write->snf_read":488871:59:37.569307  "snf_write->snf_read":00:00:00.000235
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569324
In_Seqmsg latency  seq_x2traf:3  "x2write->snf_read":488871:59:37.569324  "snf_write->snf_read":00:00:00.000252
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569336
In_Seqmsg latency  seq_x2traf:4  "x2write->snf_read":488871:59:37.569336  "snf_write->snf_read":00:00:00.000264
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569352
In_Seqmsg latency  seq_x2traf:5  "x2write->snf_read":488871:59:37.569352  "snf_write->snf_read":00:00:00.00028
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569363
In_Seqmsg latency  seq_x2traf:6  "x2write->snf_read":488871:59:37.569363  "snf_write->snf_read":00:00:00.000291
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569379
In_Seqmsg latency  seq_x2traf:7  "x2write->snf_read":488871:59:37.569379  "snf_write->snf_read":00:00:00.000307
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569391
In_Seqmsg latency  seq_x2traf:8  "x2write->snf_read":488871:59:37.569391  "snf_write->snf_read":00:00:00.000319
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569407
In_Seqmsg latency  seq_x2traf:9  "x2write->snf_read":488871:59:37.569407  "snf_write->snf_read":00:00:00.000335
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569419
In_Seqmsg latency  seq_x2traf:10  "x2write->snf_read":488871:59:37.569419  "snf_write->snf_read":00:00:00.000347
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569434
In_Seqmsg latency  seq_x2traf:11  "x2write->snf_read":488871:59:37.569434  "snf_write->snf_read":00:00:00.000362
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569072  "ts_snf_read ":2025-10-08T11:59:37.569446
In_Seqmsg latency  seq_x2traf:12  "x2write->snf_read":488871:59:37.569446  "snf_write->snf_read":00:00:00.000374
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569462
In_Seqmsg latency  seq_x2traf:13  "x2write->snf_read":488871:59:37.569462  "snf_write->snf_read":00:00:00.000379
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569474
In_Seqmsg latency  seq_x2traf:14  "x2write->snf_read":488871:59:37.569474  "snf_write->snf_read":00:00:00.000391
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569492
In_Seqmsg latency  seq_x2traf:15  "x2write->snf_read":488871:59:37.569492  "snf_write->snf_read":00:00:00.000409
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569504
In_Seqmsg latency  seq_x2traf:16  "x2write->snf_read":488871:59:37.569504  "snf_write->snf_read":00:00:00.000421
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.56952
In_Seqmsg latency  seq_x2traf:17  "x2write->snf_read":488871:59:37.56952  "snf_write->snf_read":00:00:00.000437
In_Seqmsg   times  timestamps.x2write:1969-12-31T19:00:00  ts_snf_write:2025-10-08T11:59:37.569083  "ts_snf_read ":2025-10-08T11:59:37.569531
In_Seqmsg latency  seq_x2traf:18  "x2write->snf_read":488871:59:37.569531  "snf_write->snf_read":00:00:00.000448
