seq:1  e2e_lat_ns:488823:53:55.445881115  seq_x2traf:1
seq:2  e2e_lat_ns:00:00:00.000137829  seq_x2traf:2
seq:3  e2e_lat_ns:00:00:00.000147379  seq_x2traf:3
seq:4  e2e_lat_ns:00:00:00.000148649  seq_x2traf:4
seq:5  e2e_lat_ns:00:00:00.000149129  seq_x2traf:5
seq:6  e2e_lat_ns:00:00:00.000150809  seq_x2traf:6
seq:7  e2e_lat_ns:00:00:00.000174469  seq_x2traf:7
seq:8  e2e_lat_ns:00:00:00.000175959  seq_x2traf:8
seq:9  e2e_lat_ns:00:00:00.000179649  seq_x2traf:9
seq:10  e2e_lat_ns:00:00:00.000185799  seq_x2traf:10
seq:11  e2e_lat_ns:00:00:00.000189179  seq_x2traf:11
seq:12  e2e_lat_ns:00:00:00.000213598  seq_x2traf:12
seq:13  e2e_lat_ns:00:00:00.000214778  seq_x2traf:13
seq:14  e2e_lat_ns:00:00:00.000207798  seq_x2traf:14
seq:15  e2e_lat_ns:00:00:00.000208948  seq_x2traf:15
seq:16  e2e_lat_ns:00:00:00.000213348  seq_x2traf:16
seq:17  e2e_lat_ns:00:00:00.000374697  seq_x2traf:17
seq:18  e2e_lat_ns:00:00:00.000382407  seq_x2traf:18
seq:19  e2e_lat_ns:00:00:00.000384227  seq_x2traf:19
seq:20  e2e_lat_ns:00:00:00.000384887  seq_x2traf:20
seq:21  e2e_lat_ns:00:00:00.000385627  seq_x2traf:21
seq:22  e2e_lat_ns:00:00:00.000386207  seq_x2traf:22
seq:23  e2e_lat_ns:00:00:00.000387077  seq_x2traf:23
seq:24  e2e_lat_ns:00:00:00.000388107  seq_x2traf:24
seq:25  e2e_lat_ns:00:00:00.000389347  seq_x2traf:25
seq:26  e2e_lat_ns:00:00:00.000375347  seq_x2traf:26
seq:27  e2e_lat_ns:00:00:00.000377167  seq_x2traf:27
seq:28  e2e_lat_ns:00:00:00.000378057  seq_x2traf:28
seq:29  e2e_lat_ns:00:00:00.000379207  seq_x2traf:29
seq:30  e2e_lat_ns:00:00:00.000380147  seq_x2traf:30
seq:31  e2e_lat_ns:00:00:00.000381287  seq_x2traf:31
seq:32  e2e_lat_ns:00:00:00.000382197  seq_x2traf:32
seq:33  e2e_lat_ns:00:00:00.000383387  seq_x2traf:33
seq:34  e2e_lat_ns:00:00:00.000384287  seq_x2traf:34
seq:35  e2e_lat_ns:00:00:00.000385987  seq_x2traf:35
seq:36  e2e_lat_ns:00:00:00.000386797  seq_x2traf:36
seq:37  e2e_lat_ns:00:00:00.000387817  seq_x2traf:37
seq:38  e2e_lat_ns:00:00:00.000391178  seq_x2traf:38
seq:39  e2e_lat_ns:00:00:00.000393318  seq_x2traf:39
seq:40  e2e_lat_ns:00:00:00.000399978  seq_x2traf:40
seq:41  e2e_lat_ns:00:00:00.000402008  seq_x2traf:41
seq:42  e2e_lat_ns:00:00:00.000402918  seq_x2traf:42
seq:43  e2e_lat_ns:00:00:00.000404718  seq_x2traf:43
seq:44  e2e_lat_ns:00:00:00.000405608  seq_x2traf:44
seq:45  e2e_lat_ns:00:00:00.000422488  seq_x2traf:45
seq:46  e2e_lat_ns:00:00:00.000423588  seq_x2traf:46
seq:47  e2e_lat_ns:00:00:00.000425348  seq_x2traf:47
seq:48  e2e_lat_ns:00:00:00.000426248  seq_x2traf:48
seq:49  e2e_lat_ns:00:00:00.002455875  seq_x2traf:49
seq:50  e2e_lat_ns:00:00:00.002468854  seq_x2traf:50
seq:51  e2e_lat_ns:00:00:00.003012891  seq_x2traf:51
seq:52  e2e_lat_ns:00:00:00.003023331  seq_x2traf:52
seq:53  e2e_lat_ns:00:00:00.003024621  seq_x2traf:53
seq:54  e2e_lat_ns:00:00:00.003025751  seq_x2traf:54
seq:55  e2e_lat_ns:00:00:00.003026631  seq_x2traf:55
seq:56  e2e_lat_ns:00:00:00.003027801  seq_x2traf:56
seq:57  e2e_lat_ns:00:00:00.003028681  seq_x2traf:57
seq:58  e2e_lat_ns:00:00:00.003029691  seq_x2traf:58
seq:59  e2e_lat_ns:00:00:00.003030481  seq_x2traf:59
seq:60  e2e_lat_ns:00:00:00.003031481  seq_x2traf:60
seq:61  e2e_lat_ns:00:00:00.016716482  seq_x2traf:61
seq:62  e2e_lat_ns:00:00:00.013228854  seq_x2traf:62
seq:63  e2e_lat_ns:00:00:00.013229984  seq_x2traf:63
seq:64  e2e_lat_ns:00:00:00.013230464  seq_x2traf:64
seq:65  e2e_lat_ns:00:00:00.013231144  seq_x2traf:65
seq:66  e2e_lat_ns:00:00:00.013231604  seq_x2traf:66
seq:67  e2e_lat_ns:00:00:00.013232184  seq_x2traf:67
seq:68  e2e_lat_ns:00:00:00.013232634  seq_x2traf:68
seq:69  e2e_lat_ns:00:00:00.013233224  seq_x2traf:69
seq:70  e2e_lat_ns:00:00:00.013233674  seq_x2traf:70
seq:71  e2e_lat_ns:00:00:00.013234254  seq_x2traf:71
seq:72  e2e_lat_ns:00:00:00.013234834  seq_x2traf:72
seq:73  e2e_lat_ns:00:00:00.026794556  seq_x2traf:73
seq:74  e2e_lat_ns:00:00:00.013090945  seq_x2traf:74
seq:75  e2e_lat_ns:00:00:00.013092125  seq_x2traf:75
seq:76  e2e_lat_ns:00:00:00.013093195  seq_x2traf:76
seq:77  e2e_lat_ns:00:00:00.013094055  seq_x2traf:77
seq:78  e2e_lat_ns:00:00:00.013095055  seq_x2traf:78
seq:79  e2e_lat_ns:00:00:00.013095845  seq_x2traf:79
seq:80  e2e_lat_ns:00:00:00.013096865  seq_x2traf:80
seq:81  e2e_lat_ns:00:00:00.013097645  seq_x2traf:81
seq:82  e2e_lat_ns:00:00:00.013098655  seq_x2traf:82
seq:83  e2e_lat_ns:00:00:00.013099445  seq_x2traf:83
seq:84  e2e_lat_ns:00:00:00.013100455  seq_x2traf:84
seq:85  e2e_lat_ns:00:00:00.026414929  seq_x2traf:85
seq:86  e2e_lat_ns:00:00:00.012680298  seq_x2traf:86
seq:87  e2e_lat_ns:00:00:00.012681818  seq_x2traf:87
seq:88  e2e_lat_ns:00:00:00.012682398  seq_x2traf:88
seq:89  e2e_lat_ns:00:00:00.012683228  seq_x2traf:89
seq:90  e2e_lat_ns:00:00:00.012683698  seq_x2traf:90
seq:91  e2e_lat_ns:00:00:00.012684288  seq_x2traf:91
seq:92  e2e_lat_ns:00:00:00.012684748  seq_x2traf:92
seq:93  e2e_lat_ns:00:00:00.012685328  seq_x2traf:93
seq:94  e2e_lat_ns:00:00:00.012685788  seq_x2traf:94
seq:95  e2e_lat_ns:00:00:00.012700098  seq_x2traf:95
seq:96  e2e_lat_ns:00:00:00.012701028  seq_x2traf:96
seq:97  e2e_lat_ns:00:00:00.02634255  seq_x2traf:97
seq:98  e2e_lat_ns:00:00:00.012663338  seq_x2traf:98
seq:99  e2e_lat_ns:00:00:00.012675828  seq_x2traf:99
seq:100  e2e_lat_ns:00:00:00.012676948  seq_x2traf:100
seq:101  e2e_lat_ns:00:00:00.012677538  seq_x2traf:101
seq:102  e2e_lat_ns:00:00:00.012678248  seq_x2traf:102
seq:103  e2e_lat_ns:00:00:00.012679768  seq_x2traf:103
seq:104  e2e_lat_ns:00:00:00.012687248  seq_x2traf:104
seq:105  e2e_lat_ns:00:00:00.012690508  seq_x2traf:105
seq:106  e2e_lat_ns:00:00:00.012746987  seq_x2traf:106
seq:107  e2e_lat_ns:00:00:00.012757597  seq_x2traf:107
seq:108  e2e_lat_ns:00:00:00.012759237  seq_x2traf:108
seq:109  e2e_lat_ns:00:00:00.026358139  seq_x2traf:109
seq:110  e2e_lat_ns:00:00:00.012649878  seq_x2traf:110
seq:111  e2e_lat_ns:00:00:00.012661328  seq_x2traf:111
seq:112  e2e_lat_ns:00:00:00.012662328  seq_x2traf:112
seq:113  e2e_lat_ns:00:00:00.012662808  seq_x2traf:113
seq:114  e2e_lat_ns:00:00:00.012664478  seq_x2traf:114
seq:115  e2e_lat_ns:00:00:00.012734468  seq_x2traf:115
seq:116  e2e_lat_ns:00:00:00.012737028  seq_x2traf:116
