seq:1  e2e_lat_ns:488823:52:03.736329239  seq_x2traf:1
seq:2  e2e_lat_ns:00:00:00.000296388  seq_x2traf:2
seq:3  e2e_lat_ns:00:00:00.000298528  seq_x2traf:3
seq:4  e2e_lat_ns:00:00:00.000299358  seq_x2traf:4
seq:5  e2e_lat_ns:00:00:00.000300468  seq_x2traf:5
seq:6  e2e_lat_ns:00:00:00.000301268  seq_x2traf:6
seq:7  e2e_lat_ns:00:00:00.000302618  seq_x2traf:7
seq:8  e2e_lat_ns:00:00:00.000308018  seq_x2traf:8
seq:9  e2e_lat_ns:00:00:00.000309458  seq_x2traf:9
seq:10  e2e_lat_ns:00:00:00.000310258  seq_x2traf:10
seq:11  e2e_lat_ns:00:00:00.000311298  seq_x2traf:11
seq:12  e2e_lat_ns:00:00:00.000312088  seq_x2traf:12
seq:13  e2e_lat_ns:00:00:00.000313078  seq_x2traf:13
seq:14  e2e_lat_ns:00:00:00.000297578  seq_x2traf:14
seq:15  e2e_lat_ns:00:00:00.000298918  seq_x2traf:15
seq:16  e2e_lat_ns:00:00:00.000299698  seq_x2traf:16
seq:17  e2e_lat_ns:00:00:00.000300688  seq_x2traf:17
seq:18  e2e_lat_ns:00:00:00.000301458  seq_x2traf:18
seq:19  e2e_lat_ns:00:00:00.000317368  seq_x2traf:19
seq:20  e2e_lat_ns:00:00:00.000318378  seq_x2traf:20
seq:21  e2e_lat_ns:00:00:00.000319728  seq_x2traf:21
seq:22  e2e_lat_ns:00:00:00.000321848  seq_x2traf:22
seq:23  e2e_lat_ns:00:00:00.000578736  seq_x2traf:23
seq:24  e2e_lat_ns:00:00:00.000583446  seq_x2traf:24
seq:25  e2e_lat_ns:00:00:00.000584416  seq_x2traf:25
seq:26  e2e_lat_ns:00:00:00.000571857  seq_x2traf:26
seq:27  e2e_lat_ns:00:00:00.000572647  seq_x2traf:27
seq:28  e2e_lat_ns:00:00:00.000573647  seq_x2traf:28
seq:29  e2e_lat_ns:00:00:00.000574437  seq_x2traf:29
seq:30  e2e_lat_ns:00:00:00.000575437  seq_x2traf:30
seq:31  e2e_lat_ns:00:00:00.000576227  seq_x2traf:31
seq:32  e2e_lat_ns:00:00:00.000577227  seq_x2traf:32
seq:33  e2e_lat_ns:00:00:00.000578017  seq_x2traf:33
seq:34  e2e_lat_ns:00:00:00.000579017  seq_x2traf:34
seq:35  e2e_lat_ns:00:00:00.000579807  seq_x2traf:35
seq:36  e2e_lat_ns:00:00:00.000580817  seq_x2traf:36
seq:37  e2e_lat_ns:00:00:00.000581607  seq_x2traf:37
seq:38  e2e_lat_ns:00:00:00.000571817  seq_x2traf:38
seq:39  e2e_lat_ns:00:00:00.000572607  seq_x2traf:39
seq:40  e2e_lat_ns:00:00:00.000573607  seq_x2traf:40
seq:41  e2e_lat_ns:00:00:00.000574397  seq_x2traf:41
seq:42  e2e_lat_ns:00:00:00.000575397  seq_x2traf:42
seq:43  e2e_lat_ns:00:00:00.000576187  seq_x2traf:43
seq:44  e2e_lat_ns:00:00:00.000577187  seq_x2traf:44
seq:45  e2e_lat_ns:00:00:00.000577977  seq_x2traf:45
seq:46  e2e_lat_ns:00:00:00.000578977  seq_x2traf:46
seq:47  e2e_lat_ns:00:00:00.000579767  seq_x2traf:47
seq:48  e2e_lat_ns:00:00:00.000580767  seq_x2traf:48
seq:49  e2e_lat_ns:00:00:00.000581557  seq_x2traf:49
seq:50  e2e_lat_ns:00:00:00.000567187  seq_x2traf:50
seq:51  e2e_lat_ns:00:00:00.000567977  seq_x2traf:51
seq:52  e2e_lat_ns:00:00:00.000568977  seq_x2traf:52
seq:53  e2e_lat_ns:00:00:00.000569767  seq_x2traf:53
seq:54  e2e_lat_ns:00:00:00.000570757  seq_x2traf:54
seq:55  e2e_lat_ns:00:00:00.000571547  seq_x2traf:55
seq:56  e2e_lat_ns:00:00:00.000572547  seq_x2traf:56
seq:57  e2e_lat_ns:00:00:00.000573337  seq_x2traf:57
seq:58  e2e_lat_ns:00:00:00.000574337  seq_x2traf:58
seq:59  e2e_lat_ns:00:00:00.000575127  seq_x2traf:59
seq:60  e2e_lat_ns:00:00:00.000576127  seq_x2traf:60
seq:61  e2e_lat_ns:00:00:00.010984572  seq_x2traf:61
seq:62  e2e_lat_ns:00:00:00.010982282  seq_x2traf:62
seq:63  e2e_lat_ns:00:00:00.010984362  seq_x2traf:63
seq:64  e2e_lat_ns:00:00:00.010985192  seq_x2traf:64
seq:65  e2e_lat_ns:00:00:00.010986282  seq_x2traf:65
seq:66  e2e_lat_ns:00:00:00.010987072  seq_x2traf:66
seq:67  e2e_lat_ns:00:00:00.010988062  seq_x2traf:67
seq:68  e2e_lat_ns:00:00:00.010991502  seq_x2traf:68
seq:69  e2e_lat_ns:00:00:00.010992632  seq_x2traf:69
seq:70  e2e_lat_ns:00:00:00.010993392  seq_x2traf:70
seq:71  e2e_lat_ns:00:00:00.010994382  seq_x2traf:71
seq:72  e2e_lat_ns:00:00:00.010995142  seq_x2traf:72
seq:73  e2e_lat_ns:00:00:00.024670278  seq_x2traf:73
seq:74  e2e_lat_ns:00:00:00.012693072  seq_x2traf:74
seq:75  e2e_lat_ns:00:00:00.012693902  seq_x2traf:75
seq:76  e2e_lat_ns:00:00:00.012694712  seq_x2traf:76
seq:77  e2e_lat_ns:00:00:00.012695282  seq_x2traf:77
seq:78  e2e_lat_ns:00:00:00.012695992  seq_x2traf:78
seq:79  e2e_lat_ns:00:00:00.012696542  seq_x2traf:79
seq:80  e2e_lat_ns:00:00:00.012699172  seq_x2traf:80
seq:81  e2e_lat_ns:00:00:00.012699802  seq_x2traf:81
seq:82  e2e_lat_ns:00:00:00.012700522  seq_x2traf:82
seq:83  e2e_lat_ns:00:00:00.012701072  seq_x2traf:83
seq:84  e2e_lat_ns:00:00:00.012701782  seq_x2traf:84
seq:85  e2e_lat_ns:00:00:00.026400337  seq_x2traf:85
seq:86  e2e_lat_ns:00:00:00.012699312  seq_x2traf:86
seq:87  e2e_lat_ns:00:00:00.012701192  seq_x2traf:87
seq:88  e2e_lat_ns:00:00:00.012702012  seq_x2traf:88
seq:89  e2e_lat_ns:00:00:00.012703082  seq_x2traf:89
seq:90  e2e_lat_ns:00:00:00.012703862  seq_x2traf:90
seq:91  e2e_lat_ns:00:00:00.012708212  seq_x2traf:91
seq:92  e2e_lat_ns:00:00:00.012709122  seq_x2traf:92
seq:93  e2e_lat_ns:00:00:00.012710392  seq_x2traf:93
seq:94  e2e_lat_ns:00:00:00.012711162  seq_x2traf:94
seq:95  e2e_lat_ns:00:00:00.012734242  seq_x2traf:95
