TopicList
topic  id:d7419975-76fb-408a-9224-6b655a5ceca3  name:public.anon  num_partitions:0  replication_factor:0
topic  id:801f0e0e-f55b-470b-b975-0bcd88845bd1  name:public.imdb  num_partitions:0  replication_factor:0
topic  id:4e499df7-c012-4618-9df8-88b2f5441e2c  name:private.tomato  num_partitions:0  replication_factor:0
topic  id:417d034e-f9a0-4245-b36f-65ada8a9d4d3  name:private.potato  num_partitions:0  replication_factor:0
topic  id:4f6372c7-e961-46cc-8a38-38cfc8722729  name:av1  num_partitions:1  replication_factor:1
topic  id:a689f66b-af09-4fb3-885b-640bab2f59b8  name:av2  num_partitions:2  replication_factor:1
StreamList
stream  name:/public/anon  eof_seq:0
stream  name:/sys/cmd  eof_seq:42
stream  name:/public/imdb  eof_seq:0
stream  name:/private/tomato  eof_seq:0
stream  name:/private/potato  eof_seq:0
stream  name:/kafka/av1-0  eof_seq:0
stream  name:/kafka/av2-0  eof_seq:0
stream  name:/kafka/av2-1  eof_seq:0



verbose: kafka2.ApiVersionsResponse  request_api_version:3  correlation_id:1  error_code:0
    api_keys.0:"kafka2.ApiVersion18a  api_key:18  min_version:0  max_version:4"
    api_keys.1:"kafka2.ApiVersion18a  api_key:30  min_version:1  max_version:3"
    api_keys.2:"kafka2.ApiVersion18a  api_key:19  min_version:2  max_version:7"
    api_keys.3:"kafka2.ApiVersion18a  api_key:31  min_version:1  max_version:3"
    api_keys.4:"kafka2.ApiVersion18a  api_key:29  min_version:1  max_version:3"
    api_keys.5:"kafka2.ApiVersion18a  api_key:60  min_version:0  max_version:2"
    api_keys.6:"kafka2.ApiVersion18a  api_key:32  min_version:1  max_version:3"
    api_keys.7:"kafka2.ApiVersion18a  api_key:35  min_version:1  max_version:4"
    api_keys.8:"kafka2.ApiVersion18a  api_key:1  min_version:4  max_version:17"
    api_keys.9:"kafka2.ApiVersion18a  api_key:10  min_version:0  max_version:6"
    api_keys.10:"kafka2.ApiVersion18a  api_key:22  min_version:0  max_version:6"
    api_keys.11:"kafka2.ApiVersion18a  api_key:16  min_version:0  max_version:5"
    api_keys.12:"kafka2.ApiVersion18a  api_key:2  min_version:1  max_version:10"
    api_keys.13:"kafka2.ApiVersion18a  api_key:3  min_version:0  max_version:13"
    api_keys.14:"kafka2.ApiVersion18a  api_key:0  min_version:3  max_version:12"
    api_keys.15:"kafka2.ApiVersion18a  api_key:36  min_version:0  max_version:2"
    api_keys.16:"kafka2.ApiVersion18a  api_key:17  min_version:0  max_version:1"
    throttle_time_ms:0
