writing tcp_pairs  files  in dir:/home/avorovich/pcap/wrk_full2/tests
writing tcp_pairs  files  in dir:/home/avorovich/pcap/wrk_full2/tcp_pairs
downloading omnode logs  in  dir:/home/avorovich/pcap/wrk_full2/logs
====--PcapFileProcess  fname:/home/avorovich/pcap/wrk_full2.pcap
---  iframe:000000000232  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"SYN  02"  seq_rel:"000000000000:           "  seq_gap:"            "  tcp_pay_len:000000
---  iframe:000000000235  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000001:000000000068  seq_gap:"            "  tcp_pay_len:000067
---  iframe:000000000239  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000068:000000000112  seq_gap:"            "  tcp_pay_len:000044
---  iframe:000000000242  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000112:000000000156  seq_gap:"            "  tcp_pay_len:000044
---  iframe:000000000245  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000156:000000000282  seq_gap:"            "  tcp_pay_len:000126
---  iframe:000000000249  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000282:000000000326  seq_gap:"            "  tcp_pay_len:000044
---  iframe:000000000251  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000326:000000000370  seq_gap:"            "  tcp_pay_len:000044
---  iframe:000000000253  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000370:000000000496  seq_gap:"            "  tcp_pay_len:000126
---  iframe:000000000258  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000496:000000000540  seq_gap:"            "  tcp_pay_len:000044
---  iframe:000000000266  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000540:000000000584  seq_gap:"            "  tcp_pay_len:000044
---  iframe:000000000269  tcp_pair_key:192.168.108.1:42192-192.168.108.5:1047  direction:1  th_flags:"PUSH ACK  18"  seq_rel:000000000584:000000000628  seq_gap:"            "  tcp_pay_len:000044
