COMMAND       PID            USER   FD   TYPE  DEVICE SIZE/OFF NODE NAME
systemd         1            root  164u  IPv6   19619      0t0  TCP *:22 (LISTEN)
sshd         4130            root    3u  IPv4    9406      0t0  TCP *:1000 (LISTEN)
sshd         4130            root    4u  IPv6    9408      0t0  TCP *:1000 (LISTEN)
sshd         4133            root    3u  IPv4   57463      0t0  TCP *:1024 (LISTEN)
sshd         4133            root    4u  IPv6   57465      0t0  TCP *:1024 (LISTEN)
sshd        32123            root    3u  IPv4  106037      0t0  TCP *:1063 (LISTEN)
sshd        32123            root    4u  IPv6  106039      0t0  TCP *:1063 (LISTEN)
sshd       175390            root    3u  IPv4  819041      0t0  TCP *:1012 (LISTEN)
sshd       175390            root    4u  IPv6  819043      0t0  TCP *:1012 (LISTEN)
sshd       694553            root    5u  IPv4 1818778      0t0  TCP 192.168.10.51:1000->192.168.1.44:54454 (ESTABLISHED)
sshd       694564        vparizhs    5u  IPv4 1818778      0t0  TCP 192.168.10.51:1000->192.168.1.44:54454 (ESTABLISHED)
sshd       697241            root    5u  IPv4 1822889      0t0  TCP 192.168.10.51:1000->192.168.1.44:54459 (ESTABLISHED)
sshd       697258        vparizhs    5u  IPv4 1822889      0t0  TCP 192.168.10.51:1000->192.168.1.44:54459 (ESTABLISHED)
sshd       888246            root    3u  IPv6   19619      0t0  TCP *:22 (LISTEN)
systemd-r  888282 systemd-resolve   14u  IPv4 1894982      0t0  UDP 127.0.0.53:53 
systemd-r  888282 systemd-resolve   15u  IPv4 1894983      0t0  TCP 127.0.0.53:53 (LISTEN)
systemd-r  888282 systemd-resolve   16u  IPv4 1894984      0t0  UDP 127.0.0.54:53 
systemd-r  888282 systemd-resolve   17u  IPv4 1894985      0t0  TCP 127.0.0.54:53 (LISTEN)
systemd-n  888414 systemd-network   22u  IPv4 1889699      0t0  UDP 169.254.3.1:68 
master     888736            root   13u  IPv4 1931809      0t0  TCP *:25 (LISTEN)
master     888736            root   14u  IPv6 1931810      0t0  TCP *:25 (LISTEN)
sshd      1532226            root    5u  IPv4 2376931      0t0  TCP 192.168.10.51:1000->192.168.1.44:54900 (ESTABLISHED)
sshd      1532255        vparizhs    5u  IPv4 2376931      0t0  TCP 192.168.10.51:1000->192.168.1.44:54900 (ESTABLISHED)
sshd      2001821            root    5u  IPv4 2655046      0t0  TCP 192.168.10.51:1063->192.168.10.11:35396 (ESTABLISHED)
sshd      2001877            1063    5u  IPv4 2655046      0t0  TCP 192.168.10.51:1063->192.168.10.11:35396 (ESTABLISHED)
sshd      2001877            1063    9u  IPv4 2695759      0t0  TCP 127.0.0.1:39336->127.0.0.1:41161 (ESTABLISHED)
code-cd4e 2001950            1063    9u  IPv4 2621406      0t0  TCP 127.0.0.1:41161 (LISTEN)
code-cd4e 2001950            1063   12u  IPv4 2621408      0t0  TCP 127.0.0.1:41161->127.0.0.1:39336 (ESTABLISHED)
sshd      2368559            root    3u  IPv4 3051822      0t0  TCP *:1088 (LISTEN)
sshd      2368559            root    4u  IPv6 3051824      0t0  TCP *:1088 (LISTEN)
sshd      2821730            root    4u  IPv6 3412649      0t0  TCP 192.168.10.51:22->192.168.10.11:50292 (ESTABLISHED)
sshd      2821971          dkrusr    4u  IPv6 3412649      0t0  TCP 192.168.10.51:22->192.168.10.11:50292 (ESTABLISHED)
redpanda  3077523            1082  390u  IPv4 3590067      0t0  TCP *:1092 (LISTEN)
redpanda  3077523            1082  392u  IPv4 3672237      0t0  TCP 192.168.210.51:1092->192.168.210.21:60544 (ESTABLISHED)
redpanda  3077523            1082  393u  IPv4 3672239      0t0  TCP 192.168.210.51:1092->192.168.210.21:59968 (ESTABLISHED)
redpanda  3077523            1082  395u  IPv4 3672241      0t0  TCP 192.168.210.51:1092->192.168.210.41:51392 (ESTABLISHED)
redpanda  3077523            1082  396u  IPv4 3672243      0t0  TCP 192.168.210.51:1092->192.168.210.31:59328 (ESTABLISHED)
redpanda  3077523            1082  397u  IPv4 3672246      0t0  TCP 192.168.210.51:64128->192.168.210.41:1091 (ESTABLISHED)
redpanda  3077523            1082  398u  IPv4 3672248      0t0  TCP 192.168.210.51:55168->192.168.210.21:1089 (ESTABLISHED)
redpanda  3077523            1082  399u  IPv4 3672250      0t0  TCP 192.168.210.51:62336->192.168.210.31:1090 (ESTABLISHED)
redpanda  3077523            1082  400u  IPv4 3672251      0t0  TCP *:1103 (LISTEN)
redpanda  3077523            1082  401u  IPv4 3672252      0t0  TCP *:1096 (LISTEN)
redpanda  3077523            1082  402u  IPv4 3672253      0t0  TCP 192.168.210.51:1092->192.168.210.41:61568 (ESTABLISHED)
redpanda  3077523            1082  403u  IPv4 3672255      0t0  TCP 192.168.210.51:1092->192.168.210.31:50944 (ESTABLISHED)
redpanda  3077523            1082  404u  IPv4 3672258      0t0  TCP 192.168.210.51:59072->192.168.210.31:1090 (ESTABLISHED)
redpanda  3077523            1082  405u  IPv4 3672260      0t0  TCP 192.168.210.51:62528->192.168.210.21:1089 (ESTABLISHED)
redpanda  3077523            1082  406u  IPv4 3672262      0t0  TCP 192.168.210.51:59264->192.168.210.41:1091 (ESTABLISHED)
redpanda  3077523            1082  439u  IPv4 3669172      0t0  TCP 192.168.210.51:1092->192.168.210.21:59735 (ESTABLISHED)
redpanda  3077523            1082  440u  IPv4 3669174      0t0  TCP 192.168.210.51:1092->192.168.210.41:54820 (ESTABLISHED)
redpanda  3077523            1082  441u  IPv4 3669176      0t0  TCP 192.168.210.51:1092->192.168.210.21:50593 (ESTABLISHED)
