logging standalone files in cap_dir:/home/avorovich/pcap/cap
====--PcapFileProcess  fname:/home/avorovich/pcap/o1_missed_produce.pcap

FrameParseHeaders MAC  iframe:2  mac_pair_key:00:00:00:00:08:01-33:33:00:00:00:02  ether_type_hex:" dd 86"  pkt_len:70
non-IPv4 frame  iframe:2

FrameParseHeaders MAC  iframe:3  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:74

FrameParseHeaders MAC  iframe:4  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:74

FrameParseHeaders MAC  iframe:5  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:6  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:110

FrameParseHeaders MAC  iframe:7  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:8  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:569

FrameParseHeaders MAC  iframe:9  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:10  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:102

FrameParseHeaders MAC  iframe:11  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1514

FrameParseHeaders MAC  iframe:12  mac_pair_key:00:00:00:00:08:02-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:1247

FrameParseHeaders MAC  iframe:13  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:02  ether_type_hex:" 00 08"  pkt_len:66

FrameParseHeaders MAC  iframe:14  mac_pair_key:00:00:00:00:08:01-00:00:00:00:08:03  ether_type_hex:" 00 08"  pkt_len:74

FrameParseHeaders MAC  iframe:15  mac_pair_key:00:00:00:00:08:03-00:00:00:00:08:01  ether_type_hex:" 00 08"  pkt_len:74

