Hello, World!33333333333333333333333333333333333333333333333333333333333333333
====--PcapFileProcess  fname:/home/avorovich/pcap/klocal.pcap
======================client to broker 
frame stats  tcp_pair_key:192.168.10.11:58812-192.168.10.11:9092  frame_count:19  syn_count:1  fin_count:0  rst_count:0  isn:000514299152  "seq_gap_pos_count %":0  "seq_gap_neg_count %":0
kafka stats  kafka_count:17  kafka_len_tot:000000001737  tcp_payload_len_tot:000000001783  ind_client_id_n:1
kafka client_id list (req only) 
client_id_key:my-consumer-1
kafka_non_ack_count:0  pct_non_ack!!!:0
kafka req  list  
kafka_corr_id:2  ack:1  iframe:21  index_in_frame:1  kafka_len:28
kafka_corr_id:3  ack:1  iframe:25  index_in_frame:1  kafka_len:150
kafka_corr_id:4  ack:1  iframe:27  index_in_frame:1  kafka_len:200
kafka_corr_id:5  ack:1  iframe:29  index_in_frame:1  kafka_len:56
kafka_corr_id:6  ack:1  iframe:31  index_in_frame:1  kafka_len:181
kafka_corr_id:7  ack:1  iframe:33  index_in_frame:1  kafka_len:53
kafka_corr_id:8  ack:1  iframe:35  index_in_frame:1  kafka_len:91
kafka_corr_id:9  ack:1  iframe:1157  index_in_frame:1  kafka_len:91
kafka_corr_id:10  ack:1  iframe:4430  index_in_frame:1  kafka_len:91
kafka_corr_id:11  ack:1  iframe:7739  index_in_frame:1  kafka_len:91
kafka_corr_id:12  ack:1  iframe:11042  index_in_frame:1  kafka_len:91
kafka_corr_id:13  ack:1  iframe:11904  index_in_frame:1  kafka_len:91
kafka_corr_id:14  ack:1  iframe:11925  index_in_frame:1  kafka_len:91
kafka_corr_id:15  ack:1  iframe:11946  index_in_frame:1  kafka_len:91
kafka_corr_id:16  ack:1  iframe:11967  index_in_frame:1  kafka_len:91
kafka_corr_id:17  ack:1  iframe:11988  index_in_frame:1  kafka_len:91
kafka_corr_id:18  ack:1  iframe:12009  index_in_frame:1  kafka_len:91
=============broker to client 
frame stats  tcp_pair_key:192.168.10.11:9092-192.168.10.11:58812  frame_count:19  syn_count:1  fin_count:0  rst_count:0  isn:001815845734  "seq_gap_pos_count %":0  "seq_gap_neg_count %":0
kafka stats  kafka_count:18  kafka_len_tot:000000001217  tcp_payload_len_tot:000000001217  ind_client_id_n:0
kafka rsp list  
kafka_corr_id:1  ack:0  iframe:19  index_in_frame:1  kafka_len:456
kafka_corr_id:2  ack:1  iframe:23  index_in_frame:1  kafka_len:67
kafka_corr_id:3  ack:1  iframe:26  index_in_frame:1  kafka_len:74
kafka_corr_id:4  ack:1  iframe:28  index_in_frame:1  kafka_len:219
kafka_corr_id:5  ack:1  iframe:30  index_in_frame:1  kafka_len:129
kafka_corr_id:6  ack:1  iframe:32  index_in_frame:1  kafka_len:44
kafka_corr_id:7  ack:1  iframe:34  index_in_frame:1  kafka_len:46
kafka_corr_id:8  ack:1  iframe:36  index_in_frame:1  kafka_len:10
kafka_corr_id:9  ack:1  iframe:1158  index_in_frame:1  kafka_len:10
kafka_corr_id:10  ack:1  iframe:4431  index_in_frame:1  kafka_len:10
kafka_corr_id:11  ack:1  iframe:7740  index_in_frame:1  kafka_len:10
kafka_corr_id:12  ack:1  iframe:11043  index_in_frame:1  kafka_len:10
kafka_corr_id:13  ack:1  iframe:11905  index_in_frame:1  kafka_len:10
kafka_corr_id:14  ack:1  iframe:11926  index_in_frame:1  kafka_len:10
kafka_corr_id:15  ack:1  iframe:11947  index_in_frame:1  kafka_len:10
kafka_corr_id:16  ack:1  iframe:11968  index_in_frame:1  kafka_len:10
kafka_corr_id:17  ack:1  iframe:11989  index_in_frame:1  kafka_len:10
kafka_corr_id:18  ack:1  iframe:12010  index_in_frame:1  kafka_len:10
======================client to broker 
frame stats  tcp_pair_key:192.168.10.11:58818-192.168.10.11:9092  frame_count:2012  syn_count:1  fin_count:0  rst_count:0  isn:002750844020  "seq_gap_pos_count %":0  "seq_gap_neg_count %":0
kafka stats  kafka_count:2010  kafka_len_tot:000000213019  tcp_payload_len_tot:000000213065  ind_client_id_n:1
kafka client_id list (req only) 
client_id_key:my-consumer-1
kafka_non_ack_count:0  pct_non_ack!!!:0
kafka req  list  
kafka_corr_id:2  ack:1  iframe:46  index_in_frame:1  kafka_len:61
