Hello, World!33333333333333333333333333333333333333333333333333333333333333333
====--PcapFileProcess  fname:/home/avorovich/pcap/klocal_dat0.pcap
======================client to broker 
frame stats  tcp_pair_key:192.168.110.11:39798-192.168.110.11:9092  frame_count:2016  syn_count:1  fin_count:0  rst_count:0  isn:003476959495  "seq_gap_pos_count %":0  "seq_gap_neg_count %":0
kafka stats  kafka_count:2014  kafka_len_tot:000000213187  tcp_payload_len_tot:000000213233  ind_client_id_n:1
kafka client_id list (req only) 
client_id_key:my-consumer-1
kafka_non_ack_count:1  pct_non_ack!!!:0.000496278
kafka req  list  
kafka_corr_id:2  ack:1  iframe:8  index_in_frame:1  kafka_len:28
kafka_corr_id:3  ack:1  iframe:10  index_in_frame:1  kafka_len:34
kafka_corr_id:4  ack:1  iframe:12  index_in_frame:1  kafka_len:34
kafka_corr_id:5  ack:1  iframe:22  index_in_frame:1  kafka_len:56
kafka_corr_id:6  ack:1  iframe:39  index_in_frame:1  kafka_len:61
kafka_corr_id:7  ack:1  iframe:42  index_in_frame:1  kafka_len:102
kafka_corr_id:8  ack:1  iframe:45  index_in_frame:1  kafka_len:102
kafka_corr_id:9  ack:1  iframe:48  index_in_frame:1  kafka_len:102
kafka_corr_id:10  ack:1  iframe:51  index_in_frame:1  kafka_len:102
kafka_corr_id:11  ack:1  iframe:67  index_in_frame:1  kafka_len:102
kafka_corr_id:12  ack:1  iframe:74  index_in_frame:1  kafka_len:102
kafka_corr_id:13  ack:1  iframe:80  index_in_frame:1  kafka_len:102
kafka_corr_id:14  ack:1  iframe:86  index_in_frame:1  kafka_len:102
kafka_corr_id:15  ack:1  iframe:92  index_in_frame:1  kafka_len:102
kafka_corr_id:16  ack:1  iframe:98  index_in_frame:1  kafka_len:102
kafka_corr_id:17  ack:1  iframe:104  index_in_frame:1  kafka_len:102
kafka_corr_id:18  ack:1  iframe:110  index_in_frame:1  kafka_len:102
kafka_corr_id:19  ack:1  iframe:116  index_in_frame:1  kafka_len:102
kafka_corr_id:20  ack:1  iframe:122  index_in_frame:1  kafka_len:102
kafka_corr_id:21  ack:1  iframe:128  index_in_frame:1  kafka_len:102
kafka_corr_id:22  ack:1  iframe:134  index_in_frame:1  kafka_len:102
kafka_corr_id:23  ack:1  iframe:140  index_in_frame:1  kafka_len:102
kafka_corr_id:24  ack:1  iframe:146  index_in_frame:1  kafka_len:102
kafka_corr_id:25  ack:1  iframe:152  index_in_frame:1  kafka_len:102
kafka_corr_id:26  ack:1  iframe:158  index_in_frame:1  kafka_len:102
kafka_corr_id:27  ack:1  iframe:164  index_in_frame:1  kafka_len:102
kafka_corr_id:28  ack:1  iframe:170  index_in_frame:1  kafka_len:102
kafka_corr_id:29  ack:1  iframe:176  index_in_frame:1  kafka_len:102
kafka_corr_id:30  ack:1  iframe:182  index_in_frame:1  kafka_len:102
kafka_corr_id:31  ack:1  iframe:188  index_in_frame:1  kafka_len:102
kafka_corr_id:32  ack:1  iframe:194  index_in_frame:1  kafka_len:102
kafka_corr_id:33  ack:1  iframe:200  index_in_frame:1  kafka_len:102
kafka_corr_id:34  ack:1  iframe:206  index_in_frame:1  kafka_len:102
kafka_corr_id:35  ack:1  iframe:212  index_in_frame:1  kafka_len:102
kafka_corr_id:36  ack:1  iframe:218  index_in_frame:1  kafka_len:102
kafka_corr_id:37  ack:1  iframe:224  index_in_frame:1  kafka_len:102
kafka_corr_id:38  ack:1  iframe:230  index_in_frame:1  kafka_len:102
kafka_corr_id:39  ack:1  iframe:236  index_in_frame:1  kafka_len:102
kafka_corr_id:40  ack:1  iframe:242  index_in_frame:1  kafka_len:102
kafka_corr_id:41  ack:1  iframe:248  index_in_frame:1  kafka_len:102
kafka_corr_id:42  ack:1  iframe:254  index_in_frame:1  kafka_len:102
kafka_corr_id:43  ack:1  iframe:260  index_in_frame:1  kafka_len:102
kafka_corr_id:44  ack:1  iframe:266  index_in_frame:1  kafka_len:102
kafka_corr_id:45  ack:1  iframe:272  index_in_frame:1  kafka_len:102
kafka_corr_id:46  ack:1  iframe:278  index_in_frame:1  kafka_len:102
kafka_corr_id:47  ack:1  iframe:284  index_in_frame:1  kafka_len:102
kafka_corr_id:48  ack:1  iframe:290  index_in_frame:1  kafka_len:102
